ut,ctname,popestimate2019,Latitude,density,pergdp,state,county,confirmed,death,fulldate,name,newcase,per.confirm,X,ctname,prop.female
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,0,0,03/01/2020,3月1日,0,0,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,0,0,03/02/2020,3月2日,0,0,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,1,0,03/03/2020,3月3日,1,5.98E-07,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,1,0,03/04/2020,3月4日,0,5.98E-07,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,1,0,03/05/2020,3月5日,0,5.98E-07,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,1,0,03/06/2020,3月6日,0,5.98E-07,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,2,0,03/07/2020,3月7日,1,1.20E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,2,0,03/08/2020,3月8日,0,1.20E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,3,0,03/09/2020,3月9日,1,1.79E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,3,0,03/10/2020,3月10日,0,1.79E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,4,0,03/11/2020,3月11日,1,2.39E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,4,0,03/12/2020,3月12日,0,2.39E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,7,0,03/13/2020,3月13日,3,4.19E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,7,0,03/14/2020,3月14日,0,4.19E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,15,0,03/15/2020,3月15日,8,8.97E-06,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,18,0,03/16/2020,3月16日,3,1.08E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,27,0,03/17/2020,3月17日,9,1.62E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,31,0,03/18/2020,3月18日,4,1.85E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,35,0,03/19/2020,3月19日,4,2.09E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,45,0,03/20/2020,3月20日,10,2.69E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,65,0,03/21/2020,3月21日,20,3.89E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,106,0,03/22/2020,3月22日,41,6.34E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,122,1,03/23/2020,3月23日,16,7.30E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,124,2,03/24/2020,3月24日,2,7.42E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,135,2,03/25/2020,3月25日,11,8.08E-05,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,178,4,03/26/2020,3月26日,43,0.000106502,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,220,4,03/27/2020,3月27日,42,0.000131632,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,256,6,03/28/2020,3月28日,36,0.000153172,186,California-Alameda,0.507998486
1,California-Alameda,1671329,37.648081,785.6832595,547.4165487,California,Alameda,270,7,03/29/2020,3月29日,14,0.000161548,186,California-Alameda,0.507998486
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,0,0,03/01/2020,3月1日,0,0,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,0,0,03/02/2020,3月2日,0,0,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,0,0,03/03/2020,3月3日,0,0,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,1,0,03/04/2020,3月4日,1,8.67E-07,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,1,0,03/05/2020,3月5日,0,8.67E-07,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,3,0,03/06/2020,3月6日,2,2.60E-06,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,3,0,03/07/2020,3月7日,0,2.60E-06,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,9,0,03/08/2020,3月8日,6,7.80E-06,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,9,0,03/09/2020,3月9日,0,7.80E-06,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,10,0,03/10/2020,3月10日,1,8.67E-06,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,10,0,03/11/2020,3月11日,0,8.67E-06,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,10,0,03/12/2020,3月12日,0,8.67E-06,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,25,0,03/13/2020,3月13日,15,2.17E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,29,0,03/14/2020,3月14日,4,2.51E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,29,0,03/15/2020,3月15日,0,2.51E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,34,0,03/16/2020,3月16日,5,2.95E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,39,0,03/17/2020,3月17日,5,3.38E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,41,0,03/18/2020,3月18日,2,3.55E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,42,0,03/19/2020,3月19日,1,3.64E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,46,1,03/20/2020,3月20日,4,3.99E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,51,1,03/21/2020,3月21日,5,4.42E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,61,1,03/22/2020,3月22日,10,5.29E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,71,1,03/23/2020,3月23日,10,6.16E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,86,1,03/24/2020,3月24日,15,7.46E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,108,1,03/25/2020,3月25日,22,9.36E-05,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,131,1,03/26/2020,3月26日,23,0.000113565,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,151,2,03/27/2020,3月27日,20,0.000130903,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,168,2,03/28/2020,3月28日,17,0.00014564,192,California-Contra Costa,0.510975774
2,California-Contra Costa,1153526,37.919479,554.1136063,470.0737703,California,Contra Costa,175,3,03/29/2020,3月29日,7,0.000151709,192,California-Contra Costa,0.510975774
3,California-Los Angeles,10039107,34.196398,815.8638686,495.6868038,California,Los Angeles,1,0,03/01/2020,3月1日,0,9.96E-08,204,California-Los Angeles,0.507012407
3,California-Los Angeles,10039107,34.196398,815.8638686,495.6868038,California,Los Angeles,1,0,03/02/2020,3月2日,0,9.96E-08,204,California-Los Angeles,0.507012407
3,California-Los Angeles,10039107,34.196398,815.8638686,495.6868038,California,Los Angeles,1,0,03/03/2020,3月3日,0,9.96E-08,204,California-Los Angeles,0.507012407
3,California-Los Angeles,10039107,34.196398,815.8638686,495.6868038,California,Los Angeles,7,0,03/04/2020,3月4日,6,6.97E-07,204,California-Los Angeles,0.507012407
3,California-Los Angeles,10039107,34.196398,815.8638686,495.6868038,California,Los Angeles,11,0,03/05/2020,3月5日,4,1.10E-06,204,California-Los Angeles,0.507012407
3,California-Los Angeles,10039107,34.196398,815.8638686,495.6868038,California,Los Angeles,13,0,03/06/2020,3月6日,2,1.29E-06,204,California-Los Angeles,0.507012407
